pattern;merchant
(?i)rossetto;Iper Rossetto
(?i)amzn|amazon;Amazon
(?i)telepass;Telepass
(?i)apple\.?com/bill|apple bill|itunes|icloud;Apple
(?i)happy casa;Happy Casa
(?i)tuttostock;TuttoStock
(?i)\bflover\b;Flover
(?i)eurospin;Eurospin
(?i)\bmolon\b;Molon
(?i)esselunga;Esselunga
(?i)\bconad\b;Conad
(?i)\bcoop\b;Coop
(?i)\blidl\b;Lidl
(?i)unieuro;Unieuro
(?i)mediaworld;MediaWorld
(?i)maisons? du monde;Maisons du Monde
(?i)\bikea\b;IKEA
(?i)leroy merlin;Leroy Merlin
(?i)condomin|borgo mangano|camminamento;Borgo Mangano
(?i)netflix;Netflix
(?i)spotify;Spotify
(?i)burghy;Love Burghy
(?i)beghini;Pizzeria Beghini
(?i)zamuner;Azienda Agricola Zamuner
(?i)vinsanto|visanto;Vinsanto Cafe
(?i)enel|servizio elettrico;Enel
(?i)\btim\b|telecom italia;TIM
(?i)vodafone;Vodafone
(?i)\bq8\b;Q8
(?i)rata mutuo|mutuo/prestito|\bmutuo\b;Mutuo casa
(?i)domiciliazioni e utenze;Utenze domiciliate
(?i)\bbogoni\b;Michela Bogoni
(?i)\bgas\b|riscaldamento;Gas
(?i)dalla bernardina|stazione dalla;Dalla Bernardina
(?i)prelievo;Prelievo contante
(?i)paypal.*decathlon;Decathlon
(?i)paypal.*steam|steam ?games;Steam
(?i)paypal.*cloudflare;Cloudflare
(?i)paypal.*myfonts;MyFonts
(?i)paypal.*nordsec|nordvpn;NordVPN
(?i)gioielleria;Gioielleria
(?i)dott. rita alberti;Dott.ssa Alberti
(?i)fastweb;Fastweb
(?i)rapporti interni;Mutuo Fideuram
(?i)eni ?[0-9]{3,};Eni
(?i)blizzard;Blizzard
